id,title,release_date,genres,vote_average,overview
679,Aliens: El regreso,1986-07-18,"Acción, Suspense, Ciencia ficción",7.959,"Alien es un organismo perfecto, una máquina de matar cuya superioridad física sólo puede competir con su agresividad. La oficial Ripley y la tripulación de la nave «Nostromo» se habían enfrentado, en el pasado, a esa monstruosa criatura. Y sólo Ripley sobrevivió a la masacre. Después de vagar por el espacio durante varios años, Ripley fue rescatada. Durante ese tiempo, el planeta de Alien ha sido colonizado. Pero, de repente, se pierde la comunicación con la colonia y, para investigar los motivos, se envía una expedición de marines espaciales, capitaneados por Ripley. Allí les esperan miles de espeluznantes criaturas. Alien se ha reproducido y esta vez la lucha es por la supervivencia de la Humanidad."
1272837,28 años después: El templo de los huesos,2026-01-14,"Terror, Suspense, Ciencia ficción",7.204,"El Dr. Kelson (Ralph Fiennes) se ve envuelto en una nueva y sorprendente relación, cuyas consecuencias podrían cambiar el mundo tal y como se conoce. Por otra parte, el encuentro de Spike (Alfie Williams) con el Gran Lord Jimmy Crystal (Jack O'Connell) se convierte en una pesadilla de la que el chico no puede escapar. En este mundo, los infectados ya no son la mayor amenaza para la supervivencia, ya que la inhumanidad de los supervivientes puede ser aún más extraña y aterradora."
425274,Ahora me ves 3,2025-11-12,"Suspense, Crimen",6.544,"Los Cuatro Jinetes regresan junto a una nueva generación de ilusionistas en una extraordinaria aventura que contiene giros asombrosos, sorpresas alucinantes y trucos de magia nunca vistos en la gran pantalla."
11427,Dead End: Atajo al infierno,2003-12-12,"Misterio, Terror, Suspense",6.365,"De camino para visitar a sus familiares y poder pasar el día de Nochebuena junto a ellos, Frank Harrington lleva a su familia por un atajo a través de un bosque, pero lo que en un principio iba a ser una buena idea acaba convirtiéndose en el mayor error de su vida. Aterrorizados, los Harrington tendrán un objetivo, abandonar cuanto antes la carretera por la que optaron en un principio."
1401281,El testamento de Ann Lee,2025-12-25,"Historia, Drama, Música",6.529,"Inspirada en hechos reales, se centra en la líder religiosa Ann Lee, fundadora del Movimiento Shaker a finales de la década de 1770, llegó a construir una de las sociedades utópicas más grandes de la historia de Estados Unidos. Los seguidores de Lee la consideraban el Jesucristo femenino, y sus fieles le rezaban cantando y bailando."
24791,A,1998-09-09,Documental,5.9,
28162,A vida o muerte,1946-12-15,"Romance, Fantasía, Drama, Comedia",7.755,"El aviador británico Peter Carter, en su avión en llamas y a punto de estrellarse se enamora de la voz femenina que contesta a su mensaje de socorro. Parece que se ha salvado milagrosamente y encuentra a su interlocutora. Pero un enviado del más allá le notifica que está entre la vida y la muerte y que si quiere sobrevivir, tendrá que defender su caso ante un tribunal celestial. Simultaneamente a esta situación sobrenatural, un equipo de médicos lucha en el quirófano para curar a Peter una lesión en el cerebro."
1650558,Abot Langit,2026-03-13,Romance,5.0,
644,A.I. Inteligencia Artificial,2001-06-29,"Drama, Ciencia ficción, Aventura",7.054,"En un futuro donde los avances científicos hacen posible la existencia, los humanos confían todos los aspectos de sus vidas a sofisticados robots denominados Mecas. La emoción es la última frontera en la evolución de las máquinas. Pero cuando un avanzado niño robótico llamado David es programado para amar, los humanos no están preparados para las consecuencias."
271110,Capitán América: Civil War,2016-04-27,"Aventura, Acción, Ciencia ficción",7.447,"Continúa la historia de “Avengers: Age of Ultron”, con Steve Rogers liderando un nuevo equipo de Vengadores en su esfuerzo por proteger a la humanidad. Tras otro incidente internacional relacionado con los Vengadores que ocasiona daños colaterales, la presión política fuerza a crear un sistema de registro y un cuerpo gubernamental para determinar cuándo se requiere los servicios del equipo. El nuevo status quo divide a los Vengadores mientras intentan salvar al mundo de un nuevo y perverso villano."
24428,Los Vengadores,2012-04-25,"Ciencia ficción, Acción, Aventura",7.975,"Cuando un enemigo inesperado surge como una gran amenaza para la seguridad mundial, Nick Fury, director de la Agencia SHIELD, decide reclutar a un equipo para salvar al mundo de un desastre casi seguro."
1028248,As Good As Dead. Ahora más peligroso,2022-12-16,"Acción, Crimen",6.175,"Bryant (Michael Jai White), un hombre con un pasado misterioso, se muda a un pequeño pueblo fronterizo mexicano para empezar de nuevo y vivir una vida sencilla. Mientras está allí, se hace amigo de mala gana de un adolescente local con problemas que recientemente perdió a su madre y está siendo reclutado por la pandilla callejera local."
105078,Asesinada ayer,1970-09-05,"Crimen, Suspense, Drama",6.1,"Un inspector jefe de policía investiga la desaparición de una mujer de 25 años, con retraso mental, hija de un viudo solitario. Cuando ella aparece muerta, el afligido padre se apresura a encontrar a los asesinos que de que lo haga la policía."
18839,Ghost in the Shell: Stand Alone Complex - The Laughing Man,2005-09-23,"Ciencia ficción, Animación, Acción, Crimen, Misterio",7.7,"Película recopilatoria lanzada directamente a DVD, que recupera toda la subtrama ""El hombre que ríe"" de la serie Ghost in the Shell: Stand Alone Complex, añadiendo metraje extra y mejorando la calidad de la animación, equiparándola a la de Ghost in the Shell 2: Innocence."
545611,Todo a la vez en todas partes,2022-03-24,"Acción, Aventura, Ciencia ficción",7.721,"Cuando una ruptura interdimensional altera la realidad, Evelyn, una inmigrante china en Estados Unidos, se ve envuelta en una aventura salvaje en la que sólo ella puede salvar el mundo. Perdida en los mundos infinitos del multiverso, esta heroína inesperada debe canalizar sus nuevos poderes para luchar contra los extraños y desconcertantes peligros del multiverso mientras el destino del mundo pende de un hilo."
1294681,A-,,,0.0,
102899,Ant-Man,2015-07-14,"Ciencia ficción, Aventura, Acción",7.066,"Armado con la asombrosa capacidad de reducir su tamaño a la dimensiones de un insecto, el estafador Scott Lang debe sacar a relucir al héroe que lleva dentro y ayudar a su mentor, el doctor Hank Pym, a proteger de una nueva generación de amenazas el secreto que se esconde tras el traje de Ant-Man, con un casco que le permite comunicarse con las hormigas. A pesar de los obstáculos aparentemente insuperables que les acechan, Pym y Lang deben planear y llevar a cabo un atraco para intentar salvar al mundo."
1456349,Un simple accidente,2025-10-01,"Drama, Suspense, Crimen, Misterio",7.188,"Un hombre conduce de noche con su esposa embarazada cuando atropella y mata a un perro, lo que le obliga a llevar el coche a un taller dirigido por un hombre que se parece al oficial que lo torturó en prisión."
126889,Alien: Covenant,2017-05-09,"Terror, Ciencia ficción",6.172,"Rumbo a un remoto planeta al otro lado de la galaxia, la tripulación de la nave colonial Covenant descubre lo que creen que es un paraíso inexplorado, pero resulta tratarse de un mundo oscuro y hostil cuyo único habitante es un ""sintético"" llamado David (Michael Fassbender), superviviente de la malograda expedición Prometheus.  Secuela de ""Prometheus"" (2012), a su vez precuela de ""Alien, el octavo pasajero"" (1979)."
85,En busca del arca perdida,1981-06-12,"Aventura, Acción",7.923,"Año 1936, Indiana Jones es un profesor de arqueología, dispuesto a correr peligrosas aventuras con tal de conseguir valiosas reliquias históricas. Después de una infructuosa misión en Sudamérica, el gobierno estadounidense le encarga la búsqueda del Arca de la Alianza, donde se conservan las Tablas de la Ley que Dios entregó a Moisés. Según la leyenda, quien las posea tendrá un poder absoluto, razón por la cual también la buscan los nazis."
28,Apocalypse Now,1979-05-19,"Drama, Bélica",8.269,"Durante la guerra de Vietnam, al joven Capitán Willard, un oficial de los servicios de inteligencia del ejército estadounidense, se le ha encomendado entrar en Camboya con la peligrosa misión de eliminar a Kurtz, un coronel renegado que se ha vuelto loco. El capitán deberá ir navegar por el río hasta el corazón de la selva, donde parece ser que Kurtz reina como un buda despótico sobre los miembros de la tribu Montagnard, que le adoran como a un dios."
1147400,"Miraculous World: París, las aventuras de Shadybug y Claw Noir",2023-10-21,"Animación, Familia, Acción, Fantasía",7.3,"En esta intrigante trama, los superhéroes Ladybug y Cat Noir se enfrentan a un sorprendente descubrimiento: la existencia de un universo paralelo donde la realidad que conocen se ve invertida. En este mundo alternativo, los portadores de los Prodigios de la mariquita y el gato, normalmente héroes, son los villanos. Por otro lado, el portador del Prodigio de la mariposa, usualmente un antagonista en su mundo, emerge como el héroe. Este descubrimiento lleva a Ladybug y Cat Noir a una serie de aventuras y desafíos mientras navegan por esta realidad distorsionada, cuestionando sus identidades y roles como superhéroes y enfrentándose a la complejidad de bien y mal en un contexto completamente nuevo."
1286889,A,2024-05-15,,5.9,
944824,A,2002-09-25,Documental,6.9,
317735,A,1969-06-12,,5.7,
537915,After: Aquí empieza todo,2019-04-11,"Romance, Drama",7.108,"La joven Tessa Young cursa su primer año en la universidad. Acostumbrada a una vida estable y ordenada, su mundo cambia cuando conoce a Hardin Scott, un misterioso joven de oscuro pasado. Desde el primer momento se odian, porque pertenecen a dos mundos distintos y son completamente opuestos. Sin embargo, estos dos polos opuestos pronto se unirán y nada volverá a ser igual. Tessa y Hardin deberán enfrentarse a difíciles pruebas para estar juntos. La inocencia, el despertar a la vida, el descubrimiento sexual y las huellas de un amor tan poderoso como la fuerza del destino."
451955,El amante doble,2017-05-26,"Romance, Suspense, Drama",6.075,"Chloé es una joven frágil que se enamora de su psicoterapeuta, Paul. Unos meses más tarde, cuando se van a vivir juntos, ella descubre que su amante le ha ocultado una parte de su identidad, con la que Chloé se obsesionará."
1878,Miedo y asco en Las Vegas,1998-05-22,"Aventura, Drama, Comedia",7.207,"El periodista deportivo Raoul Duke y su abogado el doctor Gonzo van a Las Vegas para hacer un reportaje sobre una carrera de motos. Su descapotable rojo está equipado con todo tipo de fármacos estimulantes y un arsenal de hierbas dopantes. Esto les permitirá hacer un alucinado viaje, físico y mental, por la decadente América de los setenta."
425909,Cazafantasmas: Más allá,2021-11-18,"Fantasía, Comedia, Aventura",7.327,"Al quedarse sin opciones y dinero, Callie, madre soltera, pone un pie en la pequeña ciudad de Summerville, Oklahoma, con sus dos hijos adolescentes, Phoebe y Trevor. Y ahora ya no hay vuelta atrás. Mientras la familia intenta establecerse en la destartalada casa del excéntrico difunto padre de Callie, secretos inesperados escondidos a plena vista, equipos misteriosos y un extraño vehículo pudriéndose en el granero parecen estar relacionados con la desconcertante actividad sísmica de la zona, y algo aún más impactante: el olvidado incidente del Hombre Malvavisco Stay-Puft en la ciudad de Nueva York de los años 80. Pero no ha habido ni un solo avistamiento de fantasmas desde los extraños acontecimientos de Los Cazafantasmas II (1989). ¿Se está repitiendo la historia? ¿Phoebe conectará los puntos, le dará voz a su abuelo y descubrirá la conexión de la familia con los Cazafantasmas originales (1984)?"
102382,The Amazing Spider-Man 2: El poder de Electro,2014-04-16,"Acción, Aventura, Ciencia ficción",6.528,"Peter Parker lleva una vida muy ocupada, compaginando su tiempo entre su papel como Spider-Man, acabando con los malos, y en el instituto con la persona a la que quiere, Gwen. Peter no ve el momento de graduarse. No ha olvidado la promesa que le hizo al padre de Gwen de protegerla, manteniéndose lejos de ella, pero es una promesa que simplemente no puede cumplir. Las cosas cambiarán para Peter cuando aparece un nuevo villano, Electro, y un viejo amigo, Harry Osborn, regresa, al tiempo que descubre nuevas pistas sobre su pasado."
572802,Aquaman y el reino perdido,2023-12-20,"Acción, Aventura, Fantasía",6.536,"Al no poder derrotar a Aquaman la primera vez, Black Manta, todavía impulsado por la necesidad de vengar la muerte de su padre, no se detendrá ante nada para derrotar a Aquaman de una vez por todas. Esta vez Black Manta es más formidable que nunca y ejerce el poder del mítico Tridente Negro, que desata una fuerza antigua y malévola.  Para derrotarlo, Aquaman recurrirá a su hermano encarcelado Orm, el ex rey de la Atlántida, para forjar una alianza improbable. Juntos, deben dejar de lado sus diferencias para proteger su reino y salvar a la familia de Aquaman, y al mundo, de una destrucción irreversible."
49255,Annie Leibovitz: La vida a través de una cámara,2007-05-19,Documental,7.7,"Un relato de la vida profesional y personal de la reconocida fotógrafa estadounidense Annie Leibovitz, desde sus primeros esfuerzos artísticos hasta su éxito internacional como fotoperiodista, reportera de guerra y cronista de la cultura pop."
49255,Annie Leibovitz: La vida a través de una cámara,2007-05-19,Documental,7.7,"Un relato de la vida profesional y personal de la reconocida fotógrafa estadounidense Annie Leibovitz, desde sus primeros esfuerzos artísticos hasta su éxito internacional como fotoperiodista, reportera de guerra y cronista de la cultura pop."
12155,Alicia en el País de las Maravillas,2010-03-03,"Familia, Fantasía, Aventura",6.638,"Alicia, una joven de 19 años, asiste a una fiesta en una mansión victoriana, donde descubre que está a punto de recibir una propuesta de matrimonio frente a un montón de gente estirada de la alta sociedad. Alicia entonces se escapa, corriendo tras un conejo blanco, entra a un agujero tras él... y acaba en el país de las Maravillas, un lugar que visitó hace 10 años, pero el cual no recuerda. El país de las Maravillas era un reino pacífico hasta que la Reina Roja derrocó a su hermana, la Reina Blanca. Las criaturas del país de las maravillas, listos para la revuelta, esperan que Alicia les ayude, y éstas a su vez le ayudarán a recordar su primera visita al mágico reino."
28512,La aventura del Poseidón,2005-11-20,"Aventura, Suspense, Acción, Película de TV",5.2,"Miniserie de TV de 2 episodios. El Poseidón es un enorme transatlántico de lujo que naufraga cuando unos terroristas hacen estallar unas bombas en pleno océano. El hundimiento sorprende a todos en plena nochevieja, y a partir de entonces los supervivientes intentarán ponerse a salvo. (FILMAFFINITY)"
436270,Black Adam,2022-10-19,"Acción, Aventura, Ciencia ficción",6.817,"Casi 5000 años después de que los dioses antiguos le concediesen sus poderes y tras ser encarcelado, Black Adam queda liberado de su tumba terrenal y está listo para hacer justicia a su manera en el mundo moderno."
9506,Ejecutivo agresivo,2003-04-11,Comedia,6.16,"Dave Buznik es un ejecutivo aparentemente muy pacífico. Sin embargo, durante un vuelo pierde el control a causa de un pequeño malentendido. Tras el incidente, el juez le impone una pena poco habitual: debe someterse a sesiones de terapia para controlar su ira. El responsable de la terapia es el excéntrico doctor Buddy Rydell. Cuando Buddy se extralimita en el ejercicio de sus funciones y se va a vivir a casa de su paciente, Dave supera su timidez y se enfrenta con él."
297802,Aquaman,2018-12-07,"Acción, Aventura, Fantasía",6.867,"Arthur Curry, también conocido como Aquaman, es un habitante de un poderoso reino subacuático que recibe el nombre de la Atlántida. En esta película repleta de acción, aventura, e incluso partes de terror, conoceremos sus orígenes, desde que era un niño criado por un hombre humano y considerado un paria por los suyos, hasta que crece y debe hacer frente a los problemas que han aparecido en su mundo. Entonces, este hombre mitad humano y mitad atlante, emprenderá el viaje de su vida, en el que tendrá que descubrir quién es realmente y si es digno de ser un rey. Acompañado de Mera, hará frente a este y otros retos, mientras le planta cara a Black Manta y a su propio hermanastro Orm. ¿Será capaz de dirigir a su pueblo y convertirse en un héroe para el mundo?"
664188,A,2017-11-24,"Comedia, Drama",5.5,
9444,Anastasia,1997-11-20,"Animación, Familia, Fantasía, Aventura",7.605,"Cuando la sombra de la revolución se cierne sobre Rusia, Anastasia, la hija más joven de la familia real, apenas consigue escapar con vida. Años despúes conoce al joven Dimitri. Cuando se dirigen a París para reclamar los derechos del legado de Anastasia, se verán envueltos en una cruenta lucha contra el malvado monje Rasputín y su sicario, el murciélago Bartok."
8078,Alien: Resurrección,1997-11-12,"Ciencia ficción, Terror, Acción",6.164,"Más de doscientos años después de su muerte, Ellen Ripley vuelve a la vida gracias al empleo de técnicas avanzadas de clonación. Pero, durante el proceso, el ADN de Ripley se ha mezclado con el de la Reina Alien, por lo que Ripley empieza a desarrollar ciertas características de la peligrosa alienígena."
31251,Angels' Brigade,1979-02-01,"Acción, Comedia",3.093,
6399,"Quien tiene un amigo, tiene un tesoro",1981-12-09,"Acción, Aventura, Comedia",6.881,"Alan (Terence Hill), un sempiterno apostador en las carreras de caballos, ha de escapar de la persecución de la banda de Frisco Joe, a quien ha birlado quince mil dólares que perdió... al equivocarse de caballo ganador. En su huida, Alan se cuela de polizón en el pequeño barco de Charlie (Bud Spencer), un navegante solitario que hace travesías de propaganda de la Mermelada Puffin. Alan lleva consigo un plano de cierta isla donde su tío Brandy, enfermo de meningitis, asegura que hay un gran tesoro escondido. Al llegar a la isla de Pongo-Pongo, donde según su tío Brandy se encuentra el tesoro, Alan y Charlie han de hacer frente a multitud de peripecias, ya que el lugar indicado en el mapa es un viejo puerto militar defendido por Kamasuka, un soldado japonés que no se ha enterado todavía de que ha terminado la II Guerra Mundial."
846232,A,2019-08-26,,6.5,
311,Érase una vez en América,1984-05-23,"Drama, Crimen",8.384,"David Aaronson ""Noodles"", un pobre joven judío, conoce en los suburbios de principios del siglo XX de Manhattan, Nueva York, a Maximilian Bercovicz ""Max"", otro joven de origen hebreo dispuesto a llegar lejos por cualquier método. Entablan una gran amistad y forman, con los 3 colegas de ""Noodles"", Patrick Goldberg ""Patsy"", Philip Stein ""Cockeye"", y Dominic una banda que prospera rápidamente. Desgraciadamente, son perseguidos por Bugsy, el tipo para el que Noodles y sus amigos trabajaban anteriormente, y en uno de sus asaltos, mata a Dominic. Rápidamente Noodles se tira encima suyo y le mata, por lo que pasará 12 años en prisión. Cuando Noodles sale de prisión le recibe Max, que sigue con su banda junto a los otros 2 amigos, Patsy y Cockeye. Rápidamente, entre los 4, llegan a convertirse, en tiempos de la prohibición, en unos de los mayores gánsteres de todo el país."
107693,El valle de Abraham,1993-09-01,Drama,7.384,"Ema es una mujer de una belleza desafiante, y no sólo para Carlos, su marido, con quien se casó sin amor. Su gusto por el lujo y lo refinado, las ilusiones que tiene por la vida, el deseo que inspira a los hombres... todo ello le hace valedora del sobrenombre ""La pequeña Bavary""."
763285,Ambulance. Plan de huida,2022-03-16,"Suspense, Acción, Crimen, Drama",6.616,"Después del complicado asalto a un banco, dos hermanos roban una ambulancia y toman como rehén a una paramédico."
119450,El amanecer del planeta de los simios,2014-07-08,"Ciencia ficción, Acción, Drama, Suspense",7.337,"Un grupo de simios con grandes cualidades para la supervivencia toma las calles, liderado por César, un simio dotado de una inteligencia y unos instintos superiores para cualquier primate. Ante la necesidad de libertad, esta raza animal decide no doblegarse ante los humanos. Tendrá que luchar contra un grupo de humanos que han sobrevivido a una fuerte epidemia, desatada en la década anterior. Ambas partes han establecido una tregua, pero se verá interrumpida."
